t,roll,pitch,yaw,ax,ay,az,x,y,z
1.740,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.760,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.780,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.800,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.820,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.840,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.860,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.880,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.900,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.920,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.940,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.960,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.980,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.000,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.020,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.040,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.060,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.080,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.100,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.120,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.140,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.160,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.180,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.200,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.220,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.240,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.260,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.280,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.300,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.320,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.340,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.360,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.380,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.400,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.420,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.440,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.460,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.480,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.500,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.520,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.540,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.560,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.580,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.600,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.620,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.640,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.660,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.680,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.700,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.720,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.740,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.760,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.780,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.800,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.820,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.840,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.860,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.880,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.900,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.920,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.940,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.960,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
2.980,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.000,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.020,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.040,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.060,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.080,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.100,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.120,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.140,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.160,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.180,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.200,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.220,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.240,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.260,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.280,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.300,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.320,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.340,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.360,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.380,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.400,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.420,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.440,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.460,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.480,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.500,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.520,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.540,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.560,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.580,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.600,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.620,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.640,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.660,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.680,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
3.700,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.620,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.640,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.660,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.680,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.700,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.720,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.740,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.760,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.780,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.800,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.820,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.840,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.860,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.880,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.900,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.920,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.940,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.960,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
7.980,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.000,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.020,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.040,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.060,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.080,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.100,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.120,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.140,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.160,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.180,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.200,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.220,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.240,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.260,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.280,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.300,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.320,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.340,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.360,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.380,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.400,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.420,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.440,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.460,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.480,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.500,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.520,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.540,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.560,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.580,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.600,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.620,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.640,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.660,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.680,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.700,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.720,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.740,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.760,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.780,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.800,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.820,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.840,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.860,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.880,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.900,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.920,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
8.940,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
12.980,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.000,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.020,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.040,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.060,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.080,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.100,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.120,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.140,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.160,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.180,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.200,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.220,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.240,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.260,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.280,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.300,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.320,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.340,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.360,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.380,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.400,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.420,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.440,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.460,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.480,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.500,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.520,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.540,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.560,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.580,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.600,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.620,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.640,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.660,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.680,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.700,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.720,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.740,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.760,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.780,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.800,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.820,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.840,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.860,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.880,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.900,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.920,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.940,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.960,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
13.980,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.000,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.020,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.040,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.060,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.080,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.100,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.120,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.140,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.160,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.180,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.200,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.220,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.240,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.260,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
14.280,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.120,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.140,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.160,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.180,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.200,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.220,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.240,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.260,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.280,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.300,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.320,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.340,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.360,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.380,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.400,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.420,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.440,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.460,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.480,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.500,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.520,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.540,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.560,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.580,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.600,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.620,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.640,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.660,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.680,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.700,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.720,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.740,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.760,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.780,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.800,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.820,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.840,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.860,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.880,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.900,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.920,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.940,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.960,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
18.980,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
19.000,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
19.020,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
19.040,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
19.060,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
19.080,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
19.100,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
19.120,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
19.140,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
19.160,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
19.180,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
19.200,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
19.220,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
19.240,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
